Another Day In Paradise,Phil Collins,...But Seriously,1989
Rhythm Nation,Janet Jackson,Rhythm Nation 1814,1989
Don't Know Much,Linda Ronstadt (Featuring Aaron Neville),Gold,MBID NOT FOUND
Pump Up The Jam,Technotronic,Pump Up the Jam,1990
With Every Beat Of My Heart,Taylor Dayne,Greatest Hits,1995
How Am I Supposed To Live Without You,Michael Bolton,Soul Provider,1989
This One's For The Children,New Kids On The Block,"Merry, Merry Christmas",1989
Just Like Jesse James,Cher,The Very Best of Cher,2003
We Didn't Start The Fire,Billy Joel,Storm Front,1989
Everything,Jody Watley,Greatest Hits,1996
Back To Life,Soul II Soul,Cut Killer Show,MBID NOT FOUND
Swing The Mood,Jive Bunny,The Ultimate Collection: 80s Anthems,MBID NOT FOUND
Just Between You And Me,Lou Gramm,Long Hard Look,1989
Free Fallin,Tom Petty,Greatest Hits,MBID NOT FOUND
Love Song,Tesla,The Great Radio Controversy,1989
Downtown Train,Rod Stewart,If We Fall in Love Tonight,1996
When The Night Comes,Joe Cocker,The Best Of Joe Cocker,NO DATE FOUND
Two To Make It Right,Seduction,Nothing Matters Without Love,1989
Living In Sin,Bon Jovi,New Jersey,NO DATE FOUND
Oh Father,Madonna,Like a Prayer,1989
Blame It On The Rain,Milli Vanilli,The Remix Album,1990
I Remember You,Skid Row,Skid Row,2003
Rock And A Hard Place,The Rolling Stones,Steel Wheels,1989
Janie's Got A Gun,Aerosmith,Big Ones,2001
I'll Be Good To You,Quincy Jones Featuring Ray Charles,Back On The Block,MBID NOT FOUND
Tender Lover,Babyface,Tender Lover,1989
Peace In Our Time,Eddie Money,The Best Of Eddie Money,2001
Love Shack,The B-52's,Cosmic Thing,1989
What Kind Of Man Would I Be?,Chicago,Chicago 19,1988
Don't Close Your Eyes,Kix,Blow My Fuse,1988
Tell Me Why,Expose,ALBUM NOT FOUND,MBID NOT FOUND
Opposites Attract,Paula Abdul (Duet With The Wild Pair),Forever Your Girl,MBID NOT FOUND
(It's Just) The Way That You Love Me,Paula Abdul,Greatest Hits: Straight Up!,2007
Was It Nothing At All,Michael Damian,Where Do We Go From Here,1989
Principal's Office,Young MC,The Music Machine!,MBID NOT FOUND
Bust A Move,Young MC,ALBUM NOT FOUND,MBID NOT FOUND
Kickstart My Heart,Motley Crue,Dr. Feelgood,MBID NOT FOUND
When I See You Smile,Bad English,Bad English,1989
Steamy Windows,Tina Turner,All the Best,2004
Dangerous,Roxette,Look Sharp!,1988
I Want You,Shana,ALBUM NOT FOUND,MBID NOT FOUND
Don't Make Me Over,Sybil,Greatest Hits,1997
Nothin To Hide,Poco,TRACK NOT FOUND,MBID NOT FOUND
Here We Are,Gloria Estefan,Greatest Hits,1992
We Can't Go Wrong,The Cover Girls,ALBUM NOT FOUND,MBID NOT FOUND
Fool For Your Loving,Whitesnake,Slip Of The Tongue,1989
The Last Worthless Evening,Don Henley,Actual Miles: Henley's Greatest Hits,1995
No More Lies,Michel'le,Michel'le,1989
Angelia,Richard Marx,Greatest Hits,1997
Me So Horny,The 2 Live Crew,ALBUM NOT FOUND,MBID NOT FOUND
All Or Nothing,Milli Vanilli,All or Nothing,1989
If You Leave Me Now,Jaya,ALBUM NOT FOUND,MBID NOT FOUND
Price Of Love,Bad English,Bad English,1989
Woman In Chains,Tears For Fears,The Seeds of Love,1999
Leave A Light On,Belinda Carlisle,Runaway Horses,1990
Everything You Do (You're Sexing Me),Fiona (Duet With Kip Winger),ALBUM NOT FOUND,MBID NOT FOUND
Poison,Alice Cooper,Trash,1989
