Another Day In Paradise,Phil Collins,...But Seriously,1989
Rhythm Nation,Janet Jackson,Rhythm Nation 1814,1989
Don't Know Much,Linda Ronstadt (Featuring Aaron Neville),ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
Pump Up The Jam,Technotronic,Pump Up the Jam,1990
With Every Beat Of My Heart,Taylor Dayne,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
How Am I Supposed To Live Without You,Michael Bolton,Soul Provider,1989
This One's For The Children,New Kids On The Block,"Merry, Merry Christmas",1989
Just Like Jesse James,Cher,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
We Didn't Start The Fire,Billy Joel,Storm Front,1989
Everything,Jody Watley,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
Back To Life,Soul II Soul,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
Swing The Mood,Jive Bunny,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
Just Between You And Me,Lou Gramm,Long Hard Look,1989
Free Fallin,Tom Petty,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
Love Song,Tesla,The Great Radio Controversy,1989
Downtown Train,Rod Stewart,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
When The Night Comes,Joe Cocker,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
Two To Make It Right,Seduction,Nothing Matters Without Love,1989
Living In Sin,Bon Jovi,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
Oh Father,Madonna,Like a Prayer,1989
Blame It On The Rain,Milli Vanilli,The Remix Album,1990
I Remember You,Skid Row,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
Rock And A Hard Place,The Rolling Stones,Steel Wheels,1989
Janie's Got A Gun,Aerosmith,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
I'll Be Good To You,Quincy Jones Featuring Ray Charles,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
Tender Lover,Babyface,Tender Lover,1989
Peace In Our Time,Eddie Money,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
Love Shack,The B-52's,Cosmic Thing,1989
What Kind Of Man Would I Be?,Chicago,Chicago 19,1988
Don't Close Your Eyes,Kix,Blow My Fuse,1988
Tell Me Why,Expose,ALBUM NOT FOUND,ALBUM NOT FOUND
Opposites Attract,Paula Abdul (Duet With The Wild Pair),Forever Your Girl,1989
(It's Just) The Way That You Love Me,Paula Abdul,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
Was It Nothing At All,Michael Damian,Where Do We Go From Here,1989
Principal's Office,Young MC,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
Bust A Move,Young MC,Stone Cold Rhymin',1989
Kickstart My Heart,Motley Crue,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
When I See You Smile,Bad English,Bad English,1989
Steamy Windows,Tina Turner,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
Dangerous,Roxette,Look Sharp!,1988
I Want You,Shana,ALBUM NOT FOUND,ALBUM NOT FOUND
Don't Make Me Over,Sybil,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
Nothin To Hide,Poco,ALBUM NOT FOUND,ALBUM NOT FOUND
Here We Are,Gloria Estefan,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
We Can't Go Wrong,The Cover Girls,All That Glitters Isn't Gold,1990
Fool For Your Loving,Whitesnake,Slip Of The Tongue,1989
The Last Worthless Evening,Don Henley,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
